customer_id,ad_soyad,yas,cinsiyet,sehir,egitim,meslek_durumu,aylik_gelir_tl,medeni_durum,musteri_kkb_skoru,kayit_tarihi
C00001,Akar Ziyaettin Aslan Yüksel,45,Kadın,Adana,Lise,Serbest Meslek,18728.11,Evli,1661,2023-04-05
C00002,Uz. Zamir Açıkel Tarhan,58,Kadın,Bursa,İlkokul,Ücretli Çalışan,17937.18,Bekar,1441,2017-06-14
C00003,Suat Şafak,58,Kadın,İzmir,Lisans,Ücretli Çalışan,28151.21,Dul,1382,2017-06-21
C00004,Akdora Aygutalp Bilir,46,Erkek,Gaziantep,İlkokul,Ücretli Çalışan,16178.88,Evli,1383,2022-10-30
C00005,Arş. Gör. Sıylıhan Akbaş Durmuş,42,Erkek,İstanbul,Yüksek Lisans,Ücretli Çalışan,8425.55,Boşanmış,948,2016-02-23
C00006,Yağızkurt Şensoy,33,Kadın,Ankara,Lise,Ücretli Çalışan,12635.0,Boşanmış,1458,2024-01-19
C00007,Öğr. Seniha İnsaf Aslan,29,Erkek,İzmir,Doktora,Ücretli Çalışan,10556.14,Dul,1746,2015-11-19
C00008,Çerçi Sezgin,37,Erkek,Bursa,Lisans,Serbest Meslek,20545.3,Bekar,1143,2022-06-01
C00009,Doç. Maksur Şama,33,Erkek,Denizli,Yüksek Lisans,Ücretli Çalışan,20950.44,Bekar,1212,2019-04-06
C00010,Ferahdiba Bilir,44,Erkek,İstanbul,Ön Lisans,Ücretli Çalışan,15210.06,Boşanmış,1427,2022-11-14
C00011,Ceyhun Çorlu,32,Kadın,Bursa,Lise,Emekli,45868.1,Evli,1456,2016-10-31
C00012,Canseven Ergül Akdeniz,27,Erkek,Denizli,Lisans,Ücretli Çalışan,28858.08,Evli,1194,2022-09-05
C00013,Şehreban Kardelen Sezgin Türk,42,Kadın,İstanbul,İlkokul,Ücretli Çalışan,8251.48,Boşanmış,1047,2019-07-02
C00014,Arş. Gör. Edaviye Nuriyet Çorlu Durmuş,42,Kadın,Eskişehir,Lisans,Ücretli Çalışan,27786.62,Boşanmış,1542,2017-05-20
C00015,Nevsale Ürper Akar,38,Erkek,Mersin,Lisans,Serbest Meslek,17404.84,Evli,1130,2017-12-20
C00016,Alanalp Ülker,31,Erkek,Adana,Ön Lisans,Ücretli Çalışan,16199.13,Dul,1764,2019-01-22
C00017,Prof. Ferzi Asım Akdeniz,44,Kadın,İzmir,Lise,Ücretli Çalışan,9014.88,Bekar,1461,2024-08-28
C00018,Av. Azettin Kavurt Aslan,35,Kadın,Konya,Ön Lisans,Ücretli Çalışan,14696.8,Bekar,1532,2019-04-26
C00019,Dr. Nezize Feyzin Arsoy Ergül,52,Erkek,İzmir,Doktora,Ücretli Çalışan,30305.24,Bekar,1290,2022-08-18
C00020,Tınal Aslan,36,Erkek,Konya,Lise,Serbest Meslek,23134.23,Boşanmış,1743,2019-11-16
C00021,Tanbay Şener,34,Kadın,Samsun,Yüksek Lisans,Ücretli Çalışan,18332.92,Boşanmış,1223,2020-08-12
C00022,Arş. Gör. Yurtgüven Yüksel,25,Kadın,Kayseri,Lise,İşveren,28728.26,Evli,1839,2016-09-18
C00023,Öğr. Kasim Aslan,39,Kadın,İzmir,Lisans,Ücretli Çalışan,31306.77,Bekar,1590,2021-09-19
C00024,Dr. Günkurt Şanlı Öcalan,32,Kadın,İstanbul,Ön Lisans,Ücretli Çalışan,23450.05,Boşanmış,1884,2017-09-07
C00025,Eflâtun İlgi Türk,39,Kadın,İstanbul,Ön Lisans,Ücretli Çalışan,40299.31,Bekar,845,2023-07-13
C00026,Rabbiye Aslan,49,Kadın,İstanbul,Ön Lisans,Ücretli Çalışan,20726.56,Evli,1425,2017-12-21
